X,Y,b3n_02,b3n_04,b3n_01,VNIR,SWIR
0,810,300,173,185,5,1
0,930,50,185,227,3,4
15,315,68,185,192,5,4
15,345,368,191,199,3,4
15,525,368,185,192,5,4
15,960,374,185,213,3,5
30,150,186,185,185,3,4
30,420,174,196,192,3,1
30,855,203,196,206,2,4
45,180,191,179,206,2,4
45,195,186,191,199,2,4
45,780,174,179,171,5,1
45,870,168,173,192,5,4
45,1020,197,185,192,3,1
60,300,174,196,199,3,1
60,570,174,202,185,3,1
75,195,174,185,185,5,4
75,525,168,185,199,5,1
75,600,191,196,185,3,1
75,780,186,185,199,3,4
90,360,174,173,185,3,5
90,645,168,173,178,5,1
90,735,180,191,185,3,4
90,855,163,168,171,5,4
120,75,180,179,192,5,1
120,150,163,197,185,5,4
120,315,168,185,171,3,1
120,450,186,191,206,3,1
120,465,180,191,206,3,1
120,750,168,185,199,3,4
120,885,168,191,178,3,5
135,345,168,185,199,3,4
135,405,197,185,199,3,1
135,585,174,179,192,3,1
135,765,168,185,178,3,4
150,135,180,197,192,3,1
150,285,168,191,206,3,1
150,570,180,185,192,3,2
150,645,197,185,199,3,1
150,780,163,179,185,5,5
165,945,186,202,199,2,5
195,75,174,179,192,5,1
195,435,180,185,213,2,2
195,825,174,191,192,3,5
195,915,174,208,206,2,5
195,945,180,208,206,2,5
210,1005,186,196,206,2,1
225,30,174,179,178,5,1
225,690,163,185,192,3,4
225,735,180,191,199,3,5
225,990,186,202,206,2,4
240,855,174,202,199,2,5
240,990,180,197,192,2,1
240,1005,186,197,206,2,1
255,30,180,185,199,3,4
255,345,180,197,206,2,2
255,690,180,185,185,3,4
255,705,180,185,199,3,4
270,405,186,191,206,3,2
285,840,163,208,206,2,4
300,0,180,202,206,2,5
315,165,174,197,234,2,4
315,360,191,185,206,3,2
315,750,163,185,206,3,4
315,1005,168,196,206,2,1
330,75,174,185,192,3,4
330,210,197,174,192,3,2
330,510,174,168,178,3,4
330,705,168,191,199,3,4
330,900,168,179,206,3,4
345,75,192,202,206,2,4
345,90,174,191,213,2,4
345,210,180,179,192,3,2
345,1035,214,196,199,4,1
375,15,197,208,206,3,1
375,45,186,185,199,3,4
375,360,174,174,171,5,1
375,510,174,197,199,3,4
375,750,180,202,192,3,5
390,120,151,168,185,5,1
390,225,197,197,199,2,2
390,330,180,179,178,3,1
390,465,174,185,199,3,1
390,795,180,197,213,3,4
405,0,145,133,192,3,1
405,480,174,191,199,3,1
420,435,180,185,199,2,1
420,780,186,185,220,2,4
420,1005,191,208,241,4,1
435,645,186,220,199,2,4
450,330,186,191,192,3,1
450,1050,145,208,213,5,1
465,180,174,191,199,3,2
465,885,197,214,206,4,1
480,0,180,179,185,5,2
480,225,180,197,206,2,1
480,285,174,197,206,3,1
480,705,174,202,206,2,4
495,105,197,185,206,3,2
495,615,209,191,213,1,1
495,1005,157,248,227,5,2
510,405,191,197,199,2,4
525,645,180,185,199,3,1
525,705,168,185,213,2,1
525,735,192,208,220,2,1
525,855,145,162,220,5,4
525,945,174,220,199,2,2
540,60,203,203,213,2,1
540,840,140,168,171,5,4
555,240,186,203,199,3,4
555,615,174,185,213,3,1
570,165,174,191,192,3,4
570,345,203,220,206,2,1
570,390,192,203,199,2,1
570,555,197,191,206,3,1
585,0,140,185,178,5,1
600,0,203,197,220,2,4
600,285,180,214,206,2,1
600,630,197,197,227,2,1
615,405,186,191,220,2,1
615,570,203,225,227,2,1
630,60,186,226,220,2,1
630,690,145,139,150,5,1
630,765,186,185,199,3,1
630,780,186,185,199,3,1
660,30,174,214,199,2,1
660,435,192,208,220,2,2
660,675,134,139,136,5,4
675,735,180,191,199,2,4
690,630,203,203,234,4,2
690,855,163,179,199,3,2
705,240,151,128,178,5,1
705,390,186,197,213,2,2
705,465,186,174,129,2,2
705,525,157,203,199,3,2
705,630,174,185,213,4,2
705,990,215,231,248,1,2
705,1035,215,242,269,1,3
720,210,168,185,199,3,2
720,630,192,174,192,4,1
735,90,180,185,220,3,1
735,345,215,203,241,2,2
735,555,168,191,206,3,2
735,735,174,203,220,2,1
735,840,186,202,227,2,1
750,180,174,174,206,3,2
750,330,203,203,227,2,1
765,45,174,185,213,3,1
765,225,163,203,206,3,2
765,315,180,185,213,3,1
765,660,140,162,178,5,1
780,540,174,197,213,2,1
795,465,209,203,220,4,1
795,795,203,208,220,2,2
795,930,220,242,248,1,2
795,1035,215,242,262,1,3
810,375,180,208,213,2,2
810,495,180,185,199,3,1
810,525,180,203,220,2,2
810,600,151,185,192,5,4
810,615,163,174,157,5,1
810,810,180,197,220,2,2
825,735,203,208,213,4,3
825,855,186,208,234,2,2
840,510,134,197,213,3,2
840,645,157,191,192,5,1
840,690,197,231,227,4,2
840,810,186,208,227,4,2
855,135,180,191,199,3,2
855,240,180,197,178,3,1
855,270,192,203,227,3,1
855,420,145,151,192,3,1
855,975,238,248,241,1,3
870,330,180,197,213,2,2
870,420,151,151,178,3,2
870,1035,215,254,262,1,3
885,360,180,191,199,3,1
900,840,209,231,248,4,3
900,930,209,225,248,4,3
915,15,197,174,199,3,3
915,135,179,191,199,3,3
915,675,192,208,234,4,2
915,990,209,219,255,4,3
930,120,185,197,213,2,2
930,420,180,197,206,3,2
930,540,163,191,178,3,2
945,705,180,191,241,4,3
945,960,197,219,255,4,3
945,1020,209,225,255,4,3
960,150,203,220,220,4,2
960,225,157,162,213,3,2
960,630,272,272,220,1,1
960,840,174,197,227,2,2
975,240,157,185,199,3,2
975,645,284,249,255,1,2
975,690,203,220,227,4,3
975,870,203,214,248,2,1
975,1050,226,254,255,1,3
990,270,186,197,199,3,1
990,720,186,208,227,4,3
990,765,203,220,220,4,3
990,975,197,202,234,2,2
1005,225,174,191,206,3,2
1005,540,197,220,213,3,2
1005,555,197,231,234,3,2
1005,660,215,231,241,4,3
1035,360,180,203,206,2,2
1035,480,163,231,185,3,2
1035,720,215,214,241,4,3
1050,930,163,185,206,5,1
1065,0,197,208,242,4,2
1065,165,191,226,235,2,1
1065,345,186,197,213,2,2
1065,795,174,191,199,3,2
1080,90,185,208,192,2,3
1080,1005,209,237,255,4,3
1095,255,185,214,213,2,2
1095,450,197,220,242,4,2
1095,510,186,208,227,2,3
1095,855,192,208,206,3,2
1110,720,197,208,220,2,2
1125,75,197,220,235,4,3
1125,240,185,220,228,4,1
1125,345,191,226,235,4,2
1125,555,197,214,213,2,2
1125,615,203,226,249,4,2
1125,975,174,196,248,2,2
1140,270,214,220,228,4,1
1140,300,197,214,220,4,3
1140,420,197,208,220,4,2
1140,465,186,191,242,2,2
1140,750,145,162,213,3,3
1155,285,191,214,221,4,3
1155,435,203,214,249,4,2
1155,585,186,197,242,2,2
1155,735,180,185,206,3,3
1155,855,186,197,227,3,2
1170,45,185,203,221,2,2
1170,105,180,197,199,2,2
1170,360,185,208,235,4,3
1185,150,174,191,206,3,3
1185,285,197,226,213,4,3
1185,345,185,197,206,2,3
1185,450,186,203,213,2,2
1185,960,192,214,234,2,3
1200,480,174,208,206,3,2
1200,735,198,220,220,2,3
1200,1035,163,179,235,3,2
1215,285,226,243,235,4,2
1215,495,180,197,199,3,2
1230,75,197,232,235,4,3
1230,150,145,139,164,5,2
1230,405,185,209,206,2,3
1230,780,174,185,221,3,3
1230,960,192,219,228,2,2
1260,360,191,232,228,4,3
1260,870,169,197,221,3,1
30,120,,214,178,3,4
30,270,,168,192,5,4
30,375,,202,213,2,4
30,870,,185,206,3,4
60,960,,191,185,3,5
75,30,,237,185,1,3
105,615,,168,178,5,1
105,720,,179,199,3,1
105,1020,,202,192,2,5
135,120,,179,185,5,4
135,135,,197,178,5,4
135,450,,185,206,2,1
150,435,,191,206,2,1
180,735,,197,192,3,5
195,720,,197,185,3,5
240,210,,197,192,3,4
240,735,,185,199,3,4
240,825,,202,192,2,5
255,405,,191,206,2,2
285,780,,202,206,2,5
300,360,,197,199,2,2
300,720,,197,192,3,4
300,870,,191,192,2,5
330,690,,185,199,3,4
345,360,,151,192,5,2
345,705,,191,206,3,4
360,75,,208,206,2,4
375,720,,191,185,3,4
375,855,,197,199,3,1
390,600,,197,199,3,1
405,30,,197,227,3,4
405,960,,191,213,3,2
420,690,,179,199,3,5
420,975,,202,220,2,2
450,105,,179,199,3,2
450,375,,179,192,3,1
450,885,,197,213,2,1
465,420,,191,206,2,1
480,645,,191,185,3,4
495,720,,208,220,2,4
510,120,,168,227,3,2
510,180,,168,206,3,1
510,1035,,231,262,1,3
525,720,,197,206,2,1
540,855,,168,185,5,1
555,705,,151,192,2,1
570,330,,220,206,2,4
585,210,,203,206,2,4
615,600,,220,234,2,1
630,285,,203,199,2,1
645,675,,122,150,5,1
660,735,,191,192,3,4
690,330,,197,206,3,1
690,510,,133,199,5,2
705,75,,197,220,3,1
705,840,,191,220,2,1
720,270,,162,199,5,1
720,735,,197,213,2,1
735,150,,208,199,2,2
735,825,,203,227,2,1
750,105,,191,220,2,1
765,90,,197,220,2,1
795,780,,226,227,2,2
810,885,,225,241,4,2
825,840,,202,227,2,2
840,30,,180,199,3,3
840,105,,174,199,3,1
840,420,,174,213,3,1
870,15,,174,206,3,2
885,990,,237,262,1,3
915,0,,203,206,3,3
915,1050,,237,262,1,3
930,315,,133,206,5,1
960,615,,237,234,2,1
1005,1035,,311,269,1,3
1050,990,,219,241,4,2
1065,585,,220,234,4,3
1080,180,,208,192,2,2
1080,585,,220,234,4,2
1095,105,,208,192,4,3
1125,495,,208,227,2,2
1125,675,,208,227,2,2
1140,495,,197,220,2,2
1155,720,,185,185,3,3
1155,1005,,208,248,2,3
1170,525,,185,220,3,2
1170,555,,191,206,3,2
1185,435,,214,213,2,2
1200,525,,180,199,3,2
1215,375,,197,213,2,3
1230,30,,209,207,2,2
1230,330,,220,221,4,3
1245,435,,191,178,3,2
1260,195,,197,171,5,2
1260,915,,197,235,2,2
